,library,jsonFileName,signature,name,targetClass,equivalence.comment,equivalence.kind,equivalence.condition
0,jdk,java.awt.geom.AffineTransform_goal.json,"getRotateInstance(double vecx, double vecy, double anchorx, double anchory)",getRotateInstance,java.awt.geom.AffineTransform,"Returns a transform that rotates coordinates around an anchor point according to a rotation vector. All coordinates rotate about the specified anchor coordinates by the same amount. The amount of rotation is such that coordinates along the former positive X axis will subsequently align with the vector pointing from the origin to the specified vector coordinates. If both vecx and vecy are 0.0, an identity transform is returned. This operation is equivalent to calling:  AffineTransform.getRotateInstance(Math.atan2(vecy, vecx), anchorx, anchory);",FreeText,"methodResultID.equals(java.awt.geom.AffineTransform.getRotateInstance(args[0],args[0]))"
1,jdk,java.awt.geom.AffineTransform_goal.json,"rotate(double vecx, double vecy, double anchorx, double anchory)",rotate,java.awt.geom.AffineTransform,"Concatenates this transform with a transform that rotates coordinates around an anchor point according to a rotation vector. All coordinates rotate about the specified anchor coordinates by the same amount. The amount of rotation is such that coordinates along the former positive X axis will subsequently align with the vector pointing from the origin to the specified vector coordinates. If both vecx and vecy are 0.0, the transform is not modified in any way. This method is equivalent to calling:  rotate(Math.atan2(vecy, vecx), anchorx, anchory);",FreeText,"receiverObjectClone.rotate(args[0],args[0]);
receiverObjectClone.equals(receiverObjectID)"
2,jdk,java.awt.geom.AffineTransform_goal.json,"setToRotation(double vecx, double vecy, double anchorx, double anchory)",setToRotation,java.awt.geom.AffineTransform,"Sets this transform to a rotation transformation that rotates coordinates around an anchor point according to a rotation vector. All coordinates rotate about the specified anchor coordinates by the same amount. The amount of rotation is such that coordinates along the former positive X axis will subsequently align with the vector pointing from the origin to the specified vector coordinates. If both vecx and vecy are 0.0, the transform is set to an identity transform. This operation is equivalent to calling:  setToTranslation(Math.atan2(vecy, vecx), anchorx, anchory);",FreeText,"receiverObjectClone.setToTranslation(args[0],args[0]);
receiverObjectClone.equals(receiverObjectID)"
3,jdk,java.awt.Graphics2D_goal.json,"rotate(double theta, double x, double y)",rotate,java.awt.Graphics2D,"Concatenates the current Graphics2D Transform with a translated rotation transform. Subsequent rendering is transformed by a transform which is constructed by translating to the specified location, rotating by the specified radians, and translating back by the same amount as the original translation. This is equivalent to the following sequence of calls:  translate(x, y); rotate(theta); translate(-x, -y);  Rotating with a positive angle theta rotates points on the positive x axis toward the positive y axis.",FreeText,"receiverObjectClone.translate(args[1],args[2]);
receiverObjectClone.equals(receiverObjectID)"
4,jdk,java.awt.image.VolatileImage_goal.json,getSource(),getSource,java.awt.image.VolatileImage,"This returns an ImageProducer for this VolatileImage. Note that the VolatileImage object is optimized for rendering operations and blitting to the screen or other VolatileImage objects, as opposed to reading back the pixels of the image. Therefore, operations such as getSource may not perform as fast as operations that do not rely on reading the pixels. Note also that the pixel values read from the image are current with those in the image only at the time that they are retrieved. This method takes a snapshot of the image at the time the request is made and the ImageProducer object returned works with that static snapshot image, not the original VolatileImage. Calling getSource() is equivalent to calling getSnapshot().getSource().",FreeText,methodResultID.equals(receiverObjectClone.getSnapshot().getSource())
5,jdk,java.io.DataInputStream_goal.json,read(byte[] b),read,java.io.DataInputStream,"Reads some number of bytes from the contained input stream and stores them into the buffer array b. The number of bytes actually read is returned as an integer. This method blocks until input data is available, end of file is detected, or an exception is thrown. If b is null, a NullPointerException is thrown. If the length of b is zero, then no bytes are read and 0 is returned; otherwise, there is an attempt to read at least one byte. If no byte is available because the stream is at end of file, the value -1 is returned; otherwise, at least one byte is read and stored into b. The first byte read is stored into element b[0], the next one into b[1], and so on. The number of bytes read is, at most, equal to the length of b. Let k be the number of bytes actually read; these bytes will be stored in elements b[0] through b[k-1], leaving elements b[k] through b[b.length-1] unaffected. The read(b) method has the same effect as: <pre> read(b, 0, b.length) </pre>",FreeText,"methodResultID == read(args[0], 0, args[0].length)"
6,jdk,java.io.File_goal.json,list(java.io.FilenameFilter filter),list,java.io.File,"Returns an array of strings naming the files and directories in the directory denoted by this abstract pathname that satisfy the specified filter. The behavior of this method is the same as that of the #list() method, except that the strings in the returned array must satisfy the filter. If the given filter is null then all names are accepted. Otherwise, a name satisfies the filter if and only if the value true results when the FilenameFilter#accept FilenameFilter.accept(File,&nbsp;String) method of the filter is invoked on this abstract pathname and the name of a file or directory in the directory that it denotes.",FreeText,"java.util.Arrays.equals(methodResultID, receiverObjectClone.list())"
7,jdk,java.io.File_goal.json,listFiles(java.io.FilenameFilter filter),listFiles,java.io.File,"Returns an array of abstract pathnames denoting the files and directories in the directory denoted by this abstract pathname that satisfy the specified filter. The behavior of this method is the same as that of the #listFiles() method, except that the pathnames in the returned array must satisfy the filter. If the given filter is null then all pathnames are accepted. Otherwise, a pathname satisfies the filter if and only if the value true results when the FilenameFilter#accept FilenameFilter.accept(File,&nbsp;String) method of the filter is invoked on this abstract pathname and the name of a file or directory in the directory that it denotes.",FreeText,"java.util.Arrays.equals(methodResultID, receiverObjectClone.listFiles())"
8,jdk,java.io.File_goal.json,listFiles(java.io.FileFilter filter),listFiles,java.io.File,"Returns an array of abstract pathnames denoting the files and directories in the directory denoted by this abstract pathname that satisfy the specified filter. The behavior of this method is the same as that of the #listFiles() method, except that the pathnames in the returned array must satisfy the filter. If the given filter is null then all pathnames are accepted. Otherwise, a pathname satisfies the filter if and only if the value true results when the FileFilter#accept FileFilter.accept(File) method of the filter is invoked on the pathname.",FreeText,"java.util.Arrays.equals(methodResultID, receiverObjectClone.listFiles())"
9,jdk,java.io.InputStream_goal.json,read(byte[] b),read,java.io.InputStream,"Reads some number of bytes from the input stream and stores them into the buffer array b. The number of bytes actually read is returned as an integer. This method blocks until input data is available, end of file is detected, or an exception is thrown.  If the length of b is zero, then no bytes are read and 0 is returned; otherwise, there is an attempt to read at least one byte. If no byte is available because the stream is at the end of the file, the value -1 is returned; otherwise, at least one byte is read and stored into b.  The first byte read is stored into element b[0], the next one into b[1], and so on. The number of bytes read is, at most, equal to the length of b. Let k be the number of bytes actually read; these bytes will be stored in elements b[0] through b[k-1], leaving elements b[k] through b[b.length-1] unaffected.  The read(b) method for class InputStream has the same effect as:  read(b, 0, b.length)",FreeText,"methodResultID == read(args[0], 0, args[0].length)"
