,library,jsonFileName,signature,name,targetClass,equivalence.comment,equivalence.kind,equivalence.condition
0,gwt,com.google.gwt.animation.client.Animation_goal.json,"run(int duration, double startTime)",run,com.google.gwt.animation.client.Animation,"Run this animation at the given startTime. If the startTime has already passed, the animation will run synchronously as if it started at the specified start time. If the animation is already running, it will be canceled first.  This is equivalent to run(duration, startTime, null).",FreeText,"receiverObjectClone.run(args[0],args[1],null); receiverObjectClone.equals(receiverObjectID)"
1,gwt,com.google.gwt.animation.client.Animation_goal.json,run(int duration),run,com.google.gwt.animation.client.Animation,"Immediately run this animation. If the animation is already running, it will be canceled first.  This is equivalent to run(duration, null).",FreeText,"receiverObjectClone.run(args[0],null); receiverObjectClone.equals(receiverObjectID)"
2,gwt,com.google.gwt.core.client.JsDate_goal.json,setYear(int year),setYear,com.google.gwt.core.client.JsDate,Sets a two-digit year. @deprecated Use #setFullYear(int).,FreeText,methodResultID==(receiverObjectClone.setFullYear(args[0]))
3,gwt,com.google.gwt.core.client.JsDate_goal.json,getYear(),getYear,com.google.gwt.core.client.JsDate,Returns the year minus 1900. @deprecated Use #getFullYear().,FreeText,methodResultID==(receiverObjectClone.getFullYear())
4,gwt,com.google.gwt.core.client.JsDate_goal.json,create(double milliseconds),create,com.google.gwt.core.client.JsDate,"Creates a new date with the specified internal representation, which is the number of milliseconds since midnight on January 1st, 1970. This is the same representation returned by #getTime().",FreeText,methodResultID.equals(receiverObjectClone.getTime())
5,gwt,com.google.gwt.core.client.JsDate_goal.json,valueOf(),valueOf,com.google.gwt.core.client.JsDate,"Returns the millisecond representation, as #getTime().",FreeText,methodResultID==(receiverObjectClone.getTime())
6,gwt,com.google.gwt.core.client.JsDate_goal.json,toGMTString(),toGMTString,com.google.gwt.core.client.JsDate,Returns a date and time string in GMT. @deprecated Use #toUTCString().,FreeText,methodResultID.equals(receiverObjectClone.toUTCString())
7,gwt,com.google.gwt.i18n.client.AutoDirectionHandler_goal.json,addTo(com.google.gwt.i18n.client.AutoDirectionHandler$Target target),addTo,com.google.gwt.i18n.client.AutoDirectionHandler,"Operates like #addTo(Target, DirectionEstimator), but always uses a default DirectionEstimator, com.google.gwt.i18n.shared.WordCountDirectionEstimator.",FreeText,"methodResultID.equals(receiverObjectID.addTo(args[0], com.google.gwt.i18n.shared.WordCountDirectionEstimator))"
8,gwt,com.google.gwt.i18n.client.AutoDirectionHandler_goal.json,"addTo(com.google.gwt.i18n.client.AutoDirectionHandler$Target target, boolean enabled)",addTo,com.google.gwt.i18n.client.AutoDirectionHandler,"Operates like #addTo(Target, DirectionEstimator), but uses a default DirectionEstimator, com.google.gwt.i18n.shared.WordCountDirectionEstimator if enabled, or else a null DirectionEstimator, which means disabling direction estimation.",FreeText,"methodResultID.equals(receiverObjectID.addTo(args[0]), com.google.gwt.i18n.shared.WordCountDirectionEstimator)) ||  methodResultID.equals(receiverObjectID.addTo(args[0]), null))"
9,gwt,com.google.gwt.i18n.client.CurrencyData_goal.json,getPortableCurrencySymbol(),getPortableCurrencySymbol,com.google.gwt.i18n.client.CurrencyData,"Returns the default symbol to use for this currency, intended to be recognizable in most locales. If such a symbol is not available, it is acceptable to return the same value as #getCurrencySymbol().",FreeText,methodResultID.equals(receiverObjectClone.getCurrencySymbol())
10,gwt,com.google.gwt.i18n.client.CurrencyData_goal.json,getSimpleCurrencySymbol(),getSimpleCurrencySymbol,com.google.gwt.i18n.client.CurrencyData,"Returns the simplest symbol to use for this currency, which is not guaranteed to be unique -- for example, this might return ""$"" for both USD and CAD. It is acceptable to return the same value as #getCurrencySymbol().",FreeText,methodResultID.equals(receiverObjectClone.getCurrencySymbol())
11,gwt,com.google.gwt.i18n.rebind.AbstractResource_goal.json,"getStringExt(java.lang.String key, java.lang.String extension)",getStringExt,com.google.gwt.i18n.rebind.AbstractResource,Get a key with an extension. Identical to getString() if extension is null.,FreeText,if(extension==null) {methodResultID.equals(getString())}
12,gwt,com.google.gwt.i18n.shared.BidiFormatterBase_goal.json,estimateDirection(java.lang.String str),estimateDirection,com.google.gwt.i18n.shared.BidiFormatterBase,"Like #estimateDirection(String, boolean), but assumes isHtml is false.",FreeText,"methodResultID.equals(receiverObjectID.estimateDirection(args[0], false)"
13,gwt,com.google.gwt.i18n.shared.BidiFormatter_goal.json,"spanWrapWithKnownDir(com.google.gwt.i18n.client.HasDirection$Direction dir, java.lang.String str)",spanWrapWithKnownDir,com.google.gwt.i18n.shared.BidiFormatter,"Like #spanWrapWithKnownDir(com.google.gwt.i18n.client.HasDirection.Direction, String, boolean, boolean), but assumes isHtml is false and dirReset is true.",FreeText,"methodResultID.equals(spanWrapWithKnownDir(args[0], args[1], false, true))"
14,gwt,com.google.gwt.i18n.shared.BidiFormatter_goal.json,markAfter(java.lang.String str),markAfter,com.google.gwt.i18n.shared.BidiFormatter,"Like #markAfter(String, boolean), but assumes isHtml is false.",FreeText,"methodResultID.equals(markAfter(args[0],false))"
15,gwt,com.google.gwt.i18n.shared.BidiFormatter_goal.json,"spanWrap(java.lang.String str, boolean isHtml)",spanWrap,com.google.gwt.i18n.shared.BidiFormatter,"Like #spanWrap(String, boolean, boolean), but assumes dirReset is true.",FreeText,"methodResultID.equals(spanWrap(args[0], args[1], true))"
16,gwt,com.google.gwt.i18n.shared.BidiFormatter_goal.json,"unicodeWrapWithKnownDir(com.google.gwt.i18n.client.HasDirection$Direction dir, java.lang.String str, boolean isHtml)",unicodeWrapWithKnownDir,com.google.gwt.i18n.shared.BidiFormatter,"Like #unicodeWrapWithKnownDir(com.google.gwt.i18n.client.HasDirection.Direction, String, boolean, boolean), but assumes dirReset is true.",FreeText,"methodResultID.equals(unicodeWrapWithKnownDir(args[0], args[1], args[2], true))"
17,gwt,com.google.gwt.i18n.shared.BidiFormatter_goal.json,"unicodeWrapWithKnownDir(com.google.gwt.i18n.client.HasDirection$Direction dir, java.lang.String str)",unicodeWrapWithKnownDir,com.google.gwt.i18n.shared.BidiFormatter,"Like #unicodeWrapWithKnownDir(com.google.gwt.i18n.client.HasDirection.Direction, String, boolean, boolean), but assumes isHtml is false and dirReset is true.",FreeText,"methodResultID.equals(unicodeWrapWithKnownDir(args[0], args[1], false, true))"
