,library,jsonFileName,signature,name,targetClass,equivalence.comment,equivalence.kind,equivalence.condition
0,guava,com.google.common.base.CharMatcher_goal.json,matchesNoneOf(java.lang.CharSequence sequence),matchesNoneOf,com.google.common.base.CharMatcher,"Returns true if a character sequence contains no matching characters. Equivalent to !matchesAnyOf(sequence). <p>The default implementation iterates over the sequence, invoking matches for each character, until this returns false or the end is reached.",FreeText,methodResultID==(!receiverObjectClone.matchesAnyOf(args[0]))
1,guava,com.google.common.base.CharMatcher_goal.json,matchesAnyOf(java.lang.CharSequence sequence),matchesAnyOf,com.google.common.base.CharMatcher,"Returns true if a character sequence contains at least one matching character. Equivalent to !matchesNoneOf(sequence). <p>The default implementation iterates over the sequence, invoking matches for each character, until this returns true or the end is reached.",FreeText,methodResultID==(!receiverObjectClone.matchesNoneOf(args[0]))
2,guava,com.google.common.base.Splitter_goal.json,trimResults(),trimResults,com.google.common.base.Splitter,"Returns a splitter that behaves equivalently to this splitter, but automatically removes leading and trailing {@linkplain CharMatcher#WHITESPACE whitespace} from each returned substring; equivalent to trimResults(CharMatcher.WHITESPACE). For example, Splitter.on(',').trimResults().split("" a, b ,c "") returns an iterable containing [""a"", ""b"", ""c""].",FreeText,methodResultID.equals(receiverObjectClone.trimResults(com.google.common.base.CharMatcher.WHITESPACE))
3,guava,com.google.common.base.Splitter_goal.json,onPattern(java.lang.String separatorPattern),onPattern,com.google.common.base.Splitter,"Returns a splitter that considers any subsequence matching a given pattern (regular expression) to be a separator. For example, Splitter.onPattern(""\r?\n"").split(entireFile) splits a string into lines whether it uses DOS-style or UNIX-style line terminators. This is equivalent to Splitter.on(Pattern.compile(pattern)).",FreeText,methodResultID.equals(Splitter.on(java.util.regex.Pattern.compile(args[0])))
4,guava,com.google.common.cache.LongAdder_goal.json,decrement(),decrement,com.google.common.cache.LongAdder,Equivalent to add(-1).,FreeText,receiverObjectClone.add(-1); receiverObjectClone.equals(receiverObjectID)
5,guava,com.google.common.cache.LongAdder_goal.json,increment(),increment,com.google.common.cache.LongAdder,Equivalent to add(1).,FreeText, receiverObjectClone.add(1); receiverObjectClone.equals(receiverObjectID)
6,guava,com.google.common.cache.LongAdder_goal.json,longValue(),longValue,com.google.common.cache.LongAdder,Equivalent to sum.,FreeText,methodResultID ==(receiverObjectClone.sum())
7,guava,com.google.common.collect.ArrayTable_goal.json,"set(int rowIndex, int columnIndex, V value)",set,com.google.common.collect.ArrayTable,"Associates value with the specified row and column indices. The logic put(rowKeyList().get(rowIndex), columnKeyList().get(columnIndex), value) has the same behavior, but this method runs more quickly.",FreeText,"methodResultID.equals[receiverObjectClone.put(receiverObjectClone.rowKeyList().get(args[0]), receiverObjectClone.columnKeyList().get(args[1]), args[2]);]"
8,guava,com.google.common.collect.ArrayTable_goal.json,clear(),clear,com.google.common.collect.ArrayTable,Not supported. Use eraseAll instead.,FreeText,receiverObjectClone.eraseAll();receiverObjectClone.equals(receiverObjectID)
9,guava,com.google.common.collect.ArrayTable_goal.json,"erase(java.lang.Object rowKey, java.lang.Object columnKey)",erase,com.google.common.collect.ArrayTable,"Associates the value null with the specified keys, assuming both keys are valid. If either key is null or isn't among the keys provided during construction, this method has no effect. <p>This method is equivalent to put(rowKey, columnKey, null) when both provided keys are valid.",FreeText,"methodResultID.equals(receiverObjectClone.put(args[0],args[1],null))"
