,library,jsonFileName,signature,name,targetClass,equivalence.comment,equivalence.kind,equivalence.condition,EMR
0,colt,cern.colt.matrix.DoubleMatrix2D_goal.json,cern.colt.matrix.DoubleMatrix2D(),cern.colt.matrix.DoubleMatrix2D,cern.colt.matrix.DoubleMatrix2D,"Makes this class non instantiable, but still let's others inherit from it.",FreeText,,0
1,colt,cern.colt.matrix.DoubleMatrix2D_goal.json,"aggregate(cern.colt.function.DoubleDoubleFunction aggr, cern.colt.function.DoubleFunction f)",aggregate,cern.colt.matrix.DoubleMatrix2D,,FreeText,,0
2,colt,cern.colt.matrix.DoubleMatrix2D_goal.json,"aggregate(cern.colt.matrix.DoubleMatrix2D other, cern.colt.function.DoubleDoubleFunction aggr, cern.colt.function.DoubleDoubleFunction f)",aggregate,cern.colt.matrix.DoubleMatrix2D,,FreeText,,0
3,colt,cern.colt.matrix.DoubleMatrix2D_goal.json,assign(double[][] values),assign,cern.colt.matrix.DoubleMatrix2D,"Sets all cells to the state specified by values. values is required to have the form values[row][column] and have exactly the same number of rows and columns as the receiver.  The values are copied. So subsequent changes in values are not reflected in the matrix, and vice-versa.",FreeText,,0
4,colt,cern.colt.matrix.DoubleMatrix2D_goal.json,assign(double value),assign,cern.colt.matrix.DoubleMatrix2D,Sets all cells to the state specified by value.,FreeText,,0
5,colt,cern.colt.matrix.DoubleMatrix2D_goal.json,assign(cern.colt.function.DoubleFunction function),assign,cern.colt.matrix.DoubleMatrix2D,,FreeText,,0
6,colt,cern.colt.matrix.DoubleMatrix2D_goal.json,assign(cern.colt.matrix.DoubleMatrix2D other),assign,cern.colt.matrix.DoubleMatrix2D,"Replaces all cell values of the receiver with the values of another matrix. Both matrices must have the same number of rows and columns. If both matrices share the same cells (as is the case if they are views derived from the same matrix) and intersect in an ambiguous way, then replaces as if using an intermediate auxiliary deep copy of other.",FreeText,,0
7,colt,cern.colt.matrix.DoubleMatrix2D_goal.json,"assign(cern.colt.matrix.DoubleMatrix2D y, cern.colt.function.DoubleDoubleFunction function)",assign,cern.colt.matrix.DoubleMatrix2D,,FreeText,,0
8,colt,cern.colt.matrix.DoubleMatrix2D_goal.json,cardinality(),cardinality,cern.colt.matrix.DoubleMatrix2D,Returns the number of cells having non-zero values; ignores tolerance.,FreeText,,0
9,colt,cern.colt.matrix.DoubleMatrix2D_goal.json,copy(),copy,cern.colt.matrix.DoubleMatrix2D,"Constructs and returns a deep copy of the receiver.  Note that the returned matrix is an independent deep copy. The returned matrix is not backed by this matrix, so changes in the returned matrix are not reflected in this matrix, and vice-versa.",FreeText,,0
10,colt,cern.colt.matrix.DoubleMatrix2D_goal.json,equals(double value),equals,cern.colt.matrix.DoubleMatrix2D,Returns whether all cells are equal to the given value.,FreeText,,0
11,colt,cern.colt.matrix.DoubleMatrix2D_goal.json,equals(java.lang.Object obj),equals,cern.colt.matrix.DoubleMatrix2D,Compares this object against the specified object. The result is true if and only if the argument is not null and is at least a DoubleMatrix2D object that has the same number of columns and rows as the receiver and has exactly the same values at the same coordinates.,FreeText,,0
12,colt,cern.colt.matrix.DoubleMatrix2D_goal.json,forEachNonZero(cern.colt.function.IntIntDoubleFunction function),forEachNonZero,cern.colt.matrix.DoubleMatrix2D,"Assigns the result of a function to each non-zero cell; x[row,col] = function(x[row,col]). Use this method for fast special-purpose iteration. If you want to modify another matrix instead of this (i.e. work in read-only mode), simply return the input value unchanged. Parameters to function are as follows: first==row, second==column, third==nonZeroValue.",FreeText,,0
