,Libary,Class,Total_NumMeth,Sentences_min,Sentences_avg,Sentences_max,Total_sentences,TMRs
0,guava,com.google.common.collect.Maps,68,1,5.12,15,348,0
1,guava,com.google.common.collect.Iterators,55,1,2.64,8,145,8
2,guava,com.google.common.base.CharMatcher,46,1,1.83,5,84,6
3,guava,com.google.common.collect.Iterables,45,1,2.47,7,111,9
4,guava,com.google.common.collect.Sets,37,1,4.59,11,170,6
5,guava,com.google.common.collect.Ordering,35,1,3.0,7,105,0
6,guava,com.google.common.collect.FluentIterable,35,1,3.0,8,105,0
7,guava,com.google.common.util.concurrent.Monitor,30,1,2.27,3,68,2
8,guava,com.google.common.collect.ArrayTable,29,1,1.83,5,53,9
9,guava,com.google.common.collect.Lists,27,1,3.59,15,97,0
10,guava,com.google.common.collect.ImmutableTable,24,1,1.21,5,29,2
11,guava,com.google.common.collect.Multisets,24,1,2.75,13,66,10
12,guava,com.google.common.collect.ImmutableMultimap,23,1,1.43,3,33,0
13,guava,com.google.common.primitives.Ints,22,1,2.27,5,50,15
14,guava,com.google.common.collect.ImmutableRangeSet,21,1,1.33,6,28,2
15,guava,com.google.common.util.concurrent.RateLimiter,20,1,1.8,6,36,7
16,guava,com.google.common.collect.Multimap,20,1,2.55,6,51,6
17,guava,com.google.common.primitives.Longs,20,1,2.45,5,49,16
18,guava,com.google.common.primitives.Shorts,20,1,2.0,5,40,15
19,guava,com.google.common.io.ByteSource,19,1,2.89,7,55,0
20,guava,com.google.common.base.Predicates,19,1,2.32,5,44,0
21,guava,com.google.common.primitives.Chars,19,1,2.05,5,39,15
22,guava,com.google.common.collect.Table,19,1,2.21,5,42,0
23,guava,com.google.common.collect.RangeSet,18,1,2.11,4,38,0
24,guava,com.google.common.primitives.Doubles,17,1,2.88,6,49,9
25,guava,com.google.common.util.concurrent.MoreExecutors,17,1,4.41,12,75,0
26,guava,com.google.common.primitives.Floats,17,1,2.76,5,47,9
27,guava,com.google.common.collect.Multiset,17,1,3.06,7,52,6
28,guava,com.google.common.io.CharSource,17,1,3.12,7,53,0
29,guava,com.google.common.collect.ContiguousSet,16,1,1.38,3,22,2
30,guava,com.google.common.math.DoubleMath,16,1,2.69,9,43,17
31,guava,com.google.common.net.InternetDomainName,16,1,3.0,7,48,0
32,guava,com.google.common.collect.ImmutableMultiset,15,1,1.07,2,16,0
33,guava,com.google.common.hash.Hasher,15,1,1.2,2,18,5
34,guava,com.google.common.base.Splitter,15,1,2.6,7,39,5
35,guava,com.google.common.primitives.Booleans,13,1,2.46,5,32,8
36,guava,com.google.common.cache.LongAdder,13,1,1.38,3,18,3
37,guava,com.google.common.collect.RangeMap,13,1,2.08,4,27,0
38,guava,com.google.common.collect.SortedMultiset,12,1,1.92,5,23,5
39,guava,com.google.common.collect.ImmutableListMultimap,12,1,1.58,4,19,0
40,guava,com.google.common.collect.Collections2,11,1,3.36,9,37,9
41,guava,com.google.common.collect.ConcurrentHashMultiset,11,1,1.91,6,21,0
42,guava,com.google.common.collect.AbstractMapBasedMultimap,11,1,1.82,4,20,0
43,guava,com.google.common.collect.ImmutableCollection,10,1,1.4,3,14,0
44,guava,com.google.common.collect.LinkedListMultimap,9,1,1.89,5,17,7
45,guava,com.google.common.collect.LinkedHashMultimap,8,1,2.12,5,17,3
46,guava,com.google.common.collect.AbstractSetMultimap,8,1,1.38,3,11,0
47,guava,com.google.common.collect.AbstractListMultimap,7,1,1.29,3,9,0
48,guava,com.google.common.collect.TreeBasedTable,7,1,1.57,3,11,0
49,guava,com.google.common.io.CharSink,7,1,2.0,4,14,2
50,guava,com.google.common.util.concurrent.CycleDetectingLockFactory,7,1,1.29,2,9,2
51,guava,com.google.common.collect.TreeMultimap,7,1,1.14,2,8,0
52,guava,com.google.common.collect.SetMultimap,6,1,1.83,4,11,0
53,guava,com.google.common.collect.AbstractSortedSetMultimap,6,1,3.17,6,19,0
54,guava,com.google.common.collect.StandardTable,5,1,1.4,2,7,0
55,guava,com.google.common.collect.AbstractMultiset,5,1,1.0,1,5,0
56,guava,com.google.common.collect.SortedSetMultimap,5,1,3.4,7,17,0
57,guava,com.google.common.collect.ArrayListMultimap,5,1,1.0,1,5,0
58,guava,com.google.common.collect.ListMultimap,5,1,1.8,4,9,0
59,guava,com.google.common.collect.SortedLists,4,2,3.0,6,12,0
60,guava,com.google.common.collect.HashMultimap,4,1,1.25,2,5,0
61,guava,com.google.common.reflect.TypeToInstanceMap,4,2,2.5,3,10,0
62,guava,com.google.common.collect.HashBasedTable,3,1,1.0,1,3,0
63,guava,com.google.common.collect.HashMultiset,3,1,1.33,2,4,0
64,guava,com.google.common.collect.LinkedHashMultiset,3,1,1.33,2,4,0
65,guava,com.google.common.collect.TreeMultiset,3,3,4.33,6,13,0
66,guava,com.google.common.base.Utf8,3,2,3.0,5,9,0
67,guava,com.google.common.collect.AbstractMapBasedMultiset,2,1,1.0,1,2,0
68,guava,com.google.common.collect.AbstractMultimap,2,1,2.0,3,4,0
69,guava,com.google.common.collect.RowSortedTable,2,1,1.0,1,2,0
70,guava,com.google.common.io.Flushables,2,1,1.5,2,3,1
71,guava,com.google.common.util.concurrent.JdkFutureAdapters,2,3,4.5,6,9,0
72,guava,com.google.common.collect.SortedIterable,2,1,1.0,1,2,0
73,guava,com.google.common.collect.StandardRowSortedTable,2,1,1.0,1,2,0
74,guava,com.google.common.collect.AbstractTable,1,1,1.0,1,1,0
